party,state,percentage_2014,percentage_2019,percentage_difference
PLP,Punjab,0.0003,0.0001,-0.0002
RUC,Rajasthan,0.0002,0.0000,-0.0002
AKBAP,Rajasthan,0.0002,0.0000,-0.0002
NOC,"Tamil Nadu",0.0002,0.0000,-0.0002
RSPS,"Tamil Nadu",0.0002,0.0000,-0.0002
UPI,"Tamil Nadu",0.0002,0.0000,-0.0002
IBSP,"Uttar Pradesh",0.0002,0.0000,-0.0002
ABML(S),"Uttar Pradesh",0.0002,0.0000,-0.0002
aicp,"Uttar Pradesh",0.0002,0.0000,-0.0002
BSKP,"Uttar Pradesh",0.0003,0.0001,-0.0002
BRAVP,"Uttar Pradesh",0.0002,0.0000,-0.0002
NP,"Uttar Pradesh",0.0002,0.0000,-0.0002
RVNP,"Uttar Pradesh",0.0002,0.0000,-0.0002
BRVP,"Uttar Pradesh",0.0002,0.0000,-0.0002
BKP,"Uttar Pradesh",0.0002,0.0000,-0.0002
BSD,"Uttar Pradesh",0.0002,0.0000,-0.0002
MaJP,"Uttar Pradesh",0.0002,0.0000,-0.0002
TRMRPPI,"West Bengal",0.0002,0.0000,-0.0002
IJP,"West Bengal",0.0002,0.0000,-0.0002
AIMF,"West Bengal",0.0002,0.0000,-0.0002
AKBJHP,"West Bengal",0.0016,0.0014,-0.0002
BMNSP,Uttarakhand,0.0002,0.0000,-0.0002
RMGP,Uttarakhand,0.0002,0.0000,-0.0002
BCP,Uttarakhand,0.0002,0.0000,-0.0002
kajp,Uttarakhand,0.0002,0.0000,-0.0002
SHS,Uttarakhand,0.0002,0.0000,-0.0002
NCP,"Andaman & Nicobar Islands",0.0002,0.0000,-0.0002
AITC,"Andaman & Nicobar Islands",0.0004,0.0003,-0.0002
NADP,"NCT OF Delhi",0.0002,0.0000,-0.0002
PECP,"NCT OF Delhi",0.0002,0.0000,-0.0002
NOTA,"NCT OF Delhi",0.0076,0.0074,-0.0002
BSKP,"NCT OF Delhi",0.0002,0.0000,-0.0002
BMUP,"NCT OF Delhi",0.0002,0.0000,-0.0002
AIACP,Telangana,0.0003,0.0000,-0.0003
RPI,"Andhra Pradesh",0.0003,0.0000,-0.0003
IUML,Assam,0.0003,0.0000,-0.0003
CPI(ML)(L),Bihar,0.0890,0.0888,-0.0003
BBMP,Bihar,0.0020,0.0016,-0.0003
LSWP,Gujarat,0.0003,0.0000,-0.0003
RVNP,Haryana,0.0003,0.0000,-0.0003
RUC,Haryana,0.0003,0.0000,-0.0003
ABHM,Haryana,0.0003,0.0000,-0.0003
AKAKRP,"Jammu & Kashmir",0.0003,0.0000,-0.0003
JMBP,"Jammu & Kashmir",0.0003,0.0000,-0.0003
KDC,Karnataka,0.0003,0.0000,-0.0003
LSWP,"Madhya Pradesh",0.0003,0.0000,-0.0003
RAHM,"Madhya Pradesh",0.0003,0.0000,-0.0003
BRMD,"Madhya Pradesh",0.0003,0.0000,-0.0003
BhNaP,"Madhya Pradesh",0.0003,0.0000,-0.0003
PECP,"Madhya Pradesh",0.0003,0.0000,-0.0003
BBPSP,"Madhya Pradesh",0.0003,0.0000,-0.0003
NRSN,Maharashtra,0.0003,0.0000,-0.0003
RBS,Maharashtra,0.0006,0.0003,-0.0003
BJSP,Maharashtra,0.0003,0.0000,-0.0003
ABHM,Maharashtra,0.0003,0.0000,-0.0003
JMBP,Manipur,0.0003,0.0000,-0.0003
RPI,Punjab,0.0003,0.0000,-0.0003
bhp,Rajasthan,0.0003,0.0000,-0.0003
UMK,"Tamil Nadu",0.0018,0.0015,-0.0003
JJ,"Tamil Nadu",0.0003,0.0000,-0.0003
RsAD,"Uttar Pradesh",0.0004,0.0002,-0.0003
NJC,"Uttar Pradesh",0.0003,0.0000,-0.0003
RAHM,"Uttar Pradesh",0.0003,0.0000,-0.0003
RaMSP,"Uttar Pradesh",0.0003,0.0000,-0.0003
RaIP,"Uttar Pradesh",0.0008,0.0005,-0.0003
RshJP,"Uttar Pradesh",0.0003,0.0000,-0.0003
RaBaP,"Uttar Pradesh",0.0003,0.0000,-0.0003
"Aa S P","Uttar Pradesh",0.0003,0.0000,-0.0003
MOSP,"Uttar Pradesh",0.0003,0.0000,-0.0003
JaRaPa,"Uttar Pradesh",0.0003,0.0000,-0.0003
BSKD,"Uttar Pradesh",0.0003,0.0000,-0.0003
JAP,"Uttar Pradesh",0.0003,0.0000,-0.0003
RVMP,"Uttar Pradesh",0.0003,0.0000,-0.0003
RAHM,"West Bengal",0.0003,0.0001,-0.0003
raup,Uttarakhand,0.0003,0.0000,-0.0003
NADP,Uttarakhand,0.0003,0.0000,-0.0003
CPM,"Andaman & Nicobar Islands",0.0003,0.0000,-0.0003
AAAP,"Andaman & Nicobar Islands",0.0007,0.0005,-0.0003
NCP,"Dadra & Nagar Haveli",0.0003,0.0000,-0.0003
ATBP,"NCT OF Delhi",0.0004,0.0001,-0.0003
SHS,"NCT OF Delhi",0.0003,0.0000,-0.0003
"Aa S P","NCT OF Delhi",0.0003,0.0000,-0.0003
INC,Lakshadweep,0.0039,0.0036,-0.0003
IUML,Telangana,0.0004,0.0000,-0.0004
RSP,Telangana,0.0004,0.0000,-0.0004
SHS,Assam,0.0004,0.0000,-0.0004
SWSP,Bihar,0.0008,0.0003,-0.0004
SUCI,Gujarat,0.0004,0.0000,-0.0004
RAKP,Haryana,0.0004,0.0000,-0.0004
NAJC,Haryana,0.0004,0.0000,-0.0004
IBSPK,Haryana,0.0004,0.0000,-0.0004
NLP,Haryana,0.0004,0.0000,-0.0004
RKSP,Karnataka,0.0004,0.0000,-0.0004
asdp,Karnataka,0.0004,0.0000,-0.0004
AITC,Karnataka,0.0004,0.0000,-0.0004
AITC,"Madhya Pradesh",0.0004,0.0000,-0.0004
bjyp,"Madhya Pradesh",0.0004,0.0000,-0.0004
MAHP,"Madhya Pradesh",0.0004,0.0000,-0.0004
BC,"Madhya Pradesh",0.0004,0.0000,-0.0004
NADP,"Madhya Pradesh",0.0004,0.0000,-0.0004
ABVCP,"Madhya Pradesh",0.0004,0.0000,-0.0004
RVNP,Maharashtra,0.0004,0.0000,-0.0004
PECP,Maharashtra,0.0008,0.0004,-0.0004
DaP,Maharashtra,0.0004,0.0000,-0.0004
IVD,Punjab,0.0004,0.0000,-0.0004
IUML,Punjab,0.0004,0.0000,-0.0004
AITC,Sikkim,0.0004,0.0000,-0.0004
RWSP,"Uttar Pradesh",0.0004,0.0000,-0.0004
RMGP,"Uttar Pradesh",0.0004,0.0000,-0.0004
LPI(V),"Uttar Pradesh",0.0004,0.0000,-0.0004
RRP,"Uttar Pradesh",0.0004,0.0000,-0.0004
ARWP,"Uttar Pradesh",0.0004,0.0000,-0.0004
IPP,"Uttar Pradesh",0.0004,0.0000,-0.0004
ADUP,"Uttar Pradesh",0.0018,0.0014,-0.0004
JRPa,"Uttar Pradesh",0.0007,0.0004,-0.0004
AGRJP,"Uttar Pradesh",0.0004,0.0000,-0.0004
BhNP,"Uttar Pradesh",0.0004,0.0000,-0.0004
AMP,"Uttar Pradesh",0.0004,0.0000,-0.0004
JD(U),"West Bengal",0.0004,0.0000,-0.0004
SLP(L),Jharkhand,0.0004,0.0000,-0.0004
RLD,Uttarakhand,0.0004,0.0000,-0.0004
PECP,Uttarakhand,0.0004,0.0000,-0.0004
CPI(ML)(L),Chandigarh,0.0004,0.0000,-0.0004
kajp,"NCT OF Delhi",0.0004,0.0000,-0.0004
BPC,"NCT OF Delhi",0.0005,0.0001,-0.0004
JKNPP,"NCT OF Delhi",0.0006,0.0001,-0.0004
SPP,"NCT OF Delhi",0.0004,0.0000,-0.0004
NCP,Lakshadweep,0.0042,0.0037,-0.0004
TLP,Telangana,0.0005,0.0000,-0.0005
APRSSP,Telangana,0.0005,0.0000,-0.0005
GRIP,"Andhra Pradesh",0.0005,0.0000,-0.0005
CPI,Assam,0.0056,0.0051,-0.0005
AKBMP,Bihar,0.0022,0.0016,-0.0005
NADP,Bihar,0.0005,0.0000,-0.0005
MHD,Bihar,0.0005,0.0000,-0.0005
BIP,Bihar,0.0009,0.0004,-0.0005
RPI(A),Gujarat,0.0005,0.0000,-0.0005
VIP,Haryana,0.0005,0.0000,-0.0005
RJP(E),Haryana,0.0005,0.0000,-0.0005
hkd,Haryana,0.0005,0.0000,-0.0005
PRISM,"Jammu & Kashmir",0.0005,0.0000,-0.0005
NDEP,Karnataka,0.0007,0.0002,-0.0005
RCMP,Karnataka,0.0005,0.0000,-0.0005
SUCI,"Madhya Pradesh",0.0005,0.0000,-0.0005
MNDP,"Madhya Pradesh",0.0012,0.0007,-0.0005
RP(K),Maharashtra,0.0005,0.0000,-0.0005
CPI(ML)(L),Punjab,0.0022,0.0017,-0.0005
BhSMP,Punjab,0.0005,0.0000,-0.0005
BNNP,Rajasthan,0.0005,0.0000,-0.0005
AAAP,Sikkim,0.0005,0.0000,-0.0005
NOTA,Sikkim,0.0008,0.0004,-0.0005
ADSMK,"Tamil Nadu",0.0005,0.0000,-0.0005
NMK,"Tamil Nadu",0.0005,0.0000,-0.0005
BMF,"Uttar Pradesh",0.0005,0.0000,-0.0005
ABSC,"Uttar Pradesh",0.0005,0.0000,-0.0005
RVP,"Uttar Pradesh",0.0005,0.0000,-0.0005
JKM,"Uttar Pradesh",0.0005,0.0000,-0.0005
MaSPa,"Uttar Pradesh",0.0005,0.0000,-0.0005
HKRD,"Uttar Pradesh",0.0005,0.0000,-0.0005
ADPT,"Uttar Pradesh",0.0005,0.0000,-0.0005
JaRaP,"Uttar Pradesh",0.0005,0.0000,-0.0005
ABHM,Jharkhand,0.0011,0.0006,-0.0005
JKP(N),Jharkhand,0.0017,0.0012,-0.0005
ANC,Uttarakhand,0.0005,0.0000,-0.0005
